ERSD_WM race detector validation
Note: raw ratio/gap are included as sanity checks; only winner-conditioned variants are token-aware detectors.

regime	seq_len	metric	threshold	tpr	h0_mean	h1_mean
high	50	aaronson	71.244219	1.000000	50.433608	144.029035
high	50	ratio_raw	71.240817	0.010000	52.960715	52.960715
high	50	gap_raw	75.887129	0.010000	55.989242	55.989242
high	50	match	12.000000	1.000000	5.752500	50.000000
high	50	ratio_win	16.675592	1.000000	6.114104	52.960715
high	50	gap_win	19.281738	1.000000	6.589199	55.989242
high	50	joint_ratio	88.185240	1.000000	56.547712	196.989750
high	50	joint_gap	86.373805	1.000000	57.022808	200.018278
high	80	aaronson	101.587503	1.000000	80.184873	231.352637
high	80	ratio_raw	108.170620	0.010000	85.344516	85.344516
high	80	gap_raw	115.165575	0.010000	89.753617	89.753617
high	80	match	15.010000	1.000000	8.986250	80.000000
high	80	ratio_win	20.946094	1.000000	9.650190	85.344516
high	80	gap_win	23.970474	1.000000	10.262786	89.753617
high	80	joint_ratio	121.485657	1.000000	89.835064	316.697153
high	80	joint_gap	121.174093	1.000000	90.447660	321.106254
high	100	aaronson	126.161287	1.000000	100.602972	288.864875
high	100	ratio_raw	130.619856	0.010000	106.393059	106.393059
high	100	gap_raw	140.023425	0.010000	112.183438	112.183438
high	100	match	19.000000	1.000000	11.338750	100.000000
high	100	ratio_win	25.321477	1.000000	12.062358	106.393059
high	100	gap_win	25.893403	1.000000	12.756000	112.183438
high	100	joint_ratio	148.185538	1.000000	112.665330	395.257934
high	100	joint_gap	147.405134	1.000000	113.358972	401.048313
high	150	aaronson	179.559407	1.000000	149.913447	432.839206
high	150	ratio_raw	192.130155	0.010000	159.056329	159.056329
high	150	gap_raw	200.787639	0.010000	167.933976	167.933976
high	150	match	26.000000	1.000000	16.703750	150.000000
high	150	ratio_win	34.443605	1.000000	17.880250	159.056329
high	150	gap_win	37.056353	1.000000	19.296304	167.933976
high	150	joint_ratio	209.186113	1.000000	167.793698	591.895535
high	150	joint_gap	206.504743	1.000000	169.209752	600.773182
high	200	aaronson	234.090585	1.000000	200.263828	576.764986
high	200	ratio_raw	250.127443	0.010000	212.324866	212.324866
high	200	gap_raw	263.982240	0.010000	224.807100	224.807100
high	200	match	34.000000	1.000000	22.305000	200.000000
high	200	ratio_win	41.393497	1.000000	23.578072	212.324866
high	200	gap_win	43.664244	1.000000	25.410220	224.807100
high	200	joint_ratio	271.266901	1.000000	223.841900	789.089851
high	200	joint_gap	267.297639	1.000000	225.674048	801.572086

token_level_diagnostics
regime	metric	cohens_d
low	ratio_win	0.655471
low	gap_win	0.454747
low	corr_z_ratio_h1	0.366481
low	corr_z_gap_h1	-0.240399
medium	ratio_win	1.132682
medium	gap_win	1.074335
medium	corr_z_ratio_h1	0.704732
medium	corr_z_gap_h1	-0.034330
high	ratio_win	1.176797
high	gap_win	1.137230
high	corr_z_ratio_h1	0.751553
high	corr_z_gap_h1	-0.012190
