method	n	accepted_len_mean	accepted_len_median	num_retries_mean
ersd	1	0.6337030918102431	1.0	0.3662969081897569
ersd	2	1.0109794856977752	1.0	0.5998266396995088
ersd	3	1.2708943089430895	1.0	0.7265040650406505
ersd	4	1.42663421418637	1.0	0.8174547983310153
ersd	5	1.531159420289855	1.0	0.8728260869565218
ersd	6	1.6272078166102968	1.0	0.9173243141676062
ersd	7	1.673414820473644	1.0	0.946524064171123
ersd	8	1.7096399535423925	1.0	0.9639953542392566
ersd_nocc	1	0.5486468351599195	1.0	0.45135316484008053
ersd_nocc	2	0.8556206712839638	1.0	0.675546084176878
ersd_nocc	3	1.019971056439942	1.0	0.8026049204052098
ersd_nocc	4	1.1378783246713544	1.0	0.8712931825129929
ersd_nocc	5	1.2108757508694277	1.0	0.9209611128675308
ersd_nocc	6	1.2589602841459477	1.0	0.953503390377785
ersd_nocc	7	1.2769280833062153	0.0	0.9739668076797917
ersd_nocc	8	1.2981937602627258	0.0	0.9822660098522168
ersd_nocc_wm	1	0.5491729995529727	1.0	0.4508270004470273
ersd_nocc_wm	2	0.8428987040465485	1.0	0.6863263686855329
ersd_nocc_wm	3	1.0025802752293578	1.0	0.8102064220183486
ersd_nocc_wm	4	1.1392715029078666	1.0	0.8665442301805938
ersd_nocc_wm	5	1.1717391304347826	0.0	0.9220496894409937
ersd_nocc_wm	6	1.219930180894954	0.0	0.949857188194224
ersd_nocc_wm	7	1.2537842190016104	0.0	0.970048309178744
ersd_nocc_wm	8	1.2758620689655173	0.0	0.9791802212101497
ersd_wm	1	0.6293245469522241	1.0	0.37067545304777594
ersd_wm	2	1.0238858141567142	1.0	0.5933585785027673
ersd_wm	3	1.2745353765895011	1.0	0.729703293120313
ersd_wm	4	1.4666195690568704	1.0	0.809961144471918
ersd_wm	5	1.5512586647209048	1.0	0.8843487778183144
ersd_wm	6	1.618869337326844	1.0	0.9206289779108948
ersd_wm	7	1.692722371967655	1.0	0.947631882941856
ersd_wm	8	1.7046772323154233	1.0	0.9655972168534983
