method	n	gap_mean	gap_median	corr_gap_accept	corr_gap_reject	p_gap_gt_1.0	p_gap_gt_2.0	p_gap_gt_4.0	p_gap_gt_8.0
ersd	1	191151.37977364342	11.398981094360352	0.11268170400729235	-0.11268170400729235	0.8137086903304773	0.7138310893512851	0.612484700122399	0.5351285189718482
ersd	2	226581.47208477388	11.498135566711426	0.07493839140499244	-0.07493839140499244	0.8155100492984452	0.7133105802047781	0.608646188850967	0.5337504740235116
ersd	3	264860.75491237285	11.985124588012695	0.08073559377060904	-0.08073559377060906	0.8180239624934884	0.7190484459107483	0.6152109741274527	0.5395033860045146
ersd	4	243047.25704845888	12.271718978881836	0.07896435177988104	-0.07896435177988101	0.8185423896876549	0.7210378449843001	0.6202280614774417	0.5447033548173855
ersd	5	243441.38470645648	11.747465133666992	0.08291227707796767	-0.08291227707796767	0.823302840635532	0.7231584015406837	0.6185203017172204	0.5368319691863265
ersd	6	267952.60479621193	12.352505207061768	0.08210912910592467	-0.08210912910592466	0.8211356466876971	0.7216088328075709	0.6192429022082019	0.5422712933753944
ersd	7	267115.9997301532	12.605358600616455	0.08417432011480284	-0.08417432011480284	0.8211941231634886	0.7236636448890278	0.6203501094091903	0.5440762738355737
ersd	8	244050.08970145544	12.869300842285156	0.07956670695183334	-0.07956670695183334	0.8220325833979829	0.7219550038789759	0.6204809930178433	0.5453840186190846
ersd_nocc	1	250190.73096425255	10.283691883087158	0.09819403842721114	-0.09819403842721114	0.8190652475705692	0.7151781582600648	0.6089773253123554	0.5249884312818139
ersd_nocc	2	253795.59364148616	11.353916645050049	0.10213261372229145	-0.10213261372229145	0.8237569060773481	0.7217311233885819	0.616390423572744	0.5349907918968693
ersd_nocc	3	272508.580596291	11.733887672424316	0.10526202809179704	-0.10526202809179704	0.825	0.7265202702702702	0.6229729729729729	0.5400337837837837
ersd_nocc	4	272892.2156799386	12.513118743896484	0.10006934376675788	-0.10006934376675793	0.8282138794084186	0.7303754266211604	0.6274987810823989	0.5447749065496506
ersd_nocc	5	287095.17003505526	13.235338687896729	0.10219861422512273	-0.10219861422512273	0.8296354992076069	0.7320126782884311	0.6307448494453248	0.5496038034865293
ersd_nocc	6	288937.9530007982	13.03715991973877	0.10206184953249961	-0.10206184953249961	0.830550787954439	0.7338118271181151	0.6314557653300047	0.5492276486191293
ersd_nocc	7	281808.24204229546	12.855957508087158	0.1006158955858148	-0.1006158955858148	0.8299319727891157	0.7334570191713049	0.6301793444650587	0.5485466914038343
ersd_nocc	8	287677.94526602636	13.292160511016846	0.10214638802545496	-0.10214638802545498	0.8311768330252619	0.7344423906346272	0.6318545902649415	0.5502156500308072
ersd_nocc_wm	1	252718.12443304312	10.670121192932129	0.12284944627109803	-0.12284944627109806	0.8259052924791086	0.7193593314763231	0.6176880222841226	0.5250696378830083
ersd_nocc_wm	2	226229.33790163483	11.155098915100098	0.12695863406422755	-0.12695863406422753	0.8252978918423465	0.7200733272227314	0.611365719523373	0.5312557286892758
ersd_nocc_wm	3	229595.38286816468	12.549232482910156	0.12031219937177799	-0.12031219937177799	0.8276269185360094	0.7296340023612751	0.6297857986169675	0.5444425704165964
ersd_nocc_wm	4	233234.1835503503	14.727550506591797	0.12053285039905144	-0.12053285039905141	0.8291966035271064	0.7339973873285435	0.6366753755715219	0.5571521881123449
ersd_nocc_wm	5	260070.40595848576	13.878691673278809	0.11235315417208633	-0.11235315417208633	0.830981449183447	0.7353733946408753	0.6343745045187886	0.5527192008879024
ersd_nocc_wm	6	254340.29443022134	12.992563247680664	0.10967526220797749	-0.10967526220797749	0.8331508991399531	0.7349491790461298	0.6306489444878811	0.5476153244722439
ersd_nocc_wm	7	258767.7728445219	12.806230545043945	0.10481717158310505	-0.10481717158310505	0.8307001239157373	0.7323420074349443	0.6274783147459727	0.5466232961586122
ersd_nocc_wm	8	269885.63889103243	13.196485042572021	0.10343903320981755	-0.10343903320981755	0.829990743597655	0.7329527923480408	0.6311323665535329	0.548750385683431
ersd_wm	1	192893.0704251036	10.1314115524292	0.0887221925490132	-0.0887221925490132	0.822265625	0.71923828125	0.60693359375	0.5205078125
ersd_wm	2	219733.85846258816	10.299586296081543	0.10229938037856315	-0.10229938037856315	0.8223234624145785	0.7190584662110858	0.6146545178435839	0.5254365983295368
ersd_wm	3	263031.7278287219	11.648171424865723	0.09089142630788437	-0.09089142630788438	0.8210453444098303	0.7177223952924887	0.6178608515057114	0.5353063343717549
ersd_wm	4	277880.26133031305	11.719964027404785	0.08931037215311466	-0.08931037215311466	0.8176704169424223	0.7149238914626076	0.6118464592984778	0.5334215751158173
ersd_wm	5	267929.88965840446	11.86413288116455	0.07991572471789639	-0.0799157247178964	0.821514326876901	0.7229069953577717	0.6225388186329438	0.5396190171282216
ersd_wm	6	264285.45525804925	11.85908317565918	0.0889852011598318	-0.08898520115983179	0.8247276172430128	0.7230380546344545	0.6227696194536555	0.5406600347386704
ersd_wm	7	247399.62345467779	11.939496994018555	0.08742109613022432	-0.08742109613022432	0.8225932282727415	0.7199251053206428	0.6228740833203308	0.5401778748634732
ersd_wm	8	248345.78083405664	11.8208327293396	0.08735929865521333	-0.08735929865521333	0.822180916976456	0.7163878562577447	0.6188042131350682	0.5381040892193308
